"loc_id","crd_id","lat","long","elevation_wc25","koeppen","country","continent","koeppen_gr"
"l_723",723,55.84212022,-96.60209923,212,"Cold - Without dry season - Cold summer","Canada","North America","Continental"
"l_724",724,38.55523,-121.73482,11,"Temperate - Dry summer - Hot summer","United States of America","North America","Temperate"
"l_725",725,32.97584691,-109.3721661,1098,"Arid Desert - Hot","United States of America","North America","Arid"
"l_726",726,33.02767387,-109.3047005,1124,"Arid Desert - Hot","United States of America","North America","Arid"
"l_727",727,41.57399982,-73.9748578,35,"Cold - Without dry season - Hot summer","United States of America","North America","Continental"
"l_728",728,29.30961138,-97.30676004,75,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_729",729,-33.9938,18.9755,758,"Temperate - Dry summer - Warm summer","South Africa","Africa","Temperate"
"l_730",730,-33.6371,19.1079,732,"Temperate - Dry summer - Warm summer","South Africa","Africa","Temperate"
"l_731",731,-33.8379,19.2563,958,"Temperate - Dry summer - Warm summer","South Africa","Africa","Temperate"
"l_732",732,-33.9839,18.4318,325,"Temperate - Dry summer - Warm summer","South Africa","Africa","Temperate"
"l_733",733,-33.4611,19.6179,536,"Temperate - Dry summer - Hot summer","South Africa","Africa","Temperate"
"l_734",734,-33.7314,19.115,762,"Temperate - Dry summer - Warm summer","South Africa","Africa","Temperate"
"l_735",735,53.18,-0.23,11,"Temperate - Without dry season - Warm summer","United Kingdom","Europe","Temperate"
"l_736",736,50.57382697,-3.920813212,357,"Temperate - Without dry season - Warm summer","United Kingdom","Europe","Temperate"
"l_737",737,58.42086158,38.38989925,97,"Cold - Without dry season - Warm summer","Russia","Europe","Continental"
"l_738",738,18.7945753,73.33592883,241,"Tropical Monsoon","India","Asia","Tropical"
"l_739",739,42.05417942,-78.66926603,617,"Cold - Without dry season - Warm summer","United States of America","North America","Continental"
"l_740",740,-2.5732,-59.9805,127,"Tropical Rainforest","Brazil","South America","Tropical"
"l_741",741,45.73036942,-82.63654488,175,"Cold - Without dry season - Warm summer","Canada","North America","Continental"
"l_742",742,31.94294145,-113.0208108,332,"Arid Desert - Hot","Mexico","North America","Arid"
"l_743",743,35.87436367,-116.2272739,430,"Arid Desert - Hot","United States of America","North America","Arid"
"l_744",744,36.247011,-116.8565326,-81,"Arid Desert - Hot","United States of America","North America","Arid"
"l_745",745,35.87997985,-116.2376939,421,"Arid Desert - Hot","United States of America","North America","Arid"
"l_746",746,55.71093474,37.57783533,131,"Cold - Without dry season - Warm summer","Russia","Europe","Continental"
"l_747",747,18.78637396,73.35166177,293,"Tropical Monsoon","India","Asia","Tropical"
"l_748",748,52.316703,18.34952955,87,"Cold - Without dry season - Warm summer","Poland","Europe","Continental"
"l_749",749,51.22284414,4.410215962,6,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_750",750,48.96448369,16.53799726,181,"Cold - Without dry season - Warm summer","Czechia","Europe","Continental"
"l_751",751,31.33005006,-89.33349642,83,"Temperate - Without dry season - Hot summer","United States of America","North America","Temperate"
"l_752",752,43.591583,4.591517,1,"Temperate - Dry summer - Hot summer","France","Europe","Temperate"
"l_753",753,59.8312191,23.25770445,3,"Cold - Without dry season - Warm summer","Finland","Europe","Continental"
"l_754",754,46.998889,-2.235,1,"Temperate - Without dry season - Warm summer","France","Europe","Temperate"
"l_755",755,59.833045,23.25743,3,"Cold - Without dry season - Warm summer","Finland","Europe","Continental"
"l_756",756,59.788592,23.174135,,"Cold - Without dry season - Warm summer","Finland","Europe","Continental"
"l_757",757,58.075424,38.199375,121,"Cold - Without dry season - Warm summer","Russia","Europe","Continental"
"l_758",758,60.257761,22.01515,,"Cold - Without dry season - Warm summer","Finland","Europe","Continental"
"l_759",759,55.303833,63.405333,160,"Cold - Without dry season - Warm summer","Russia","Asia","Continental"
"l_760",760,51.336317,3.348728,2,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_761",761,51.067778,3.773611,7,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_762",762,60.184363,25.794781,23,"Cold - Without dry season - Warm summer","Finland","Europe","Continental"
"l_763",763,51.355731,3.334453,2,"Temperate - Without dry season - Warm summer","Netherlands","Europe","Temperate"
"l_764",764,54.672667,90.226833,373,"Cold - Without dry season - Warm summer","Russia","Asia","Continental"
"l_765",765,50.855464,4.347334,36,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_766",766,59.8329692,23.2562571,3,"Cold - Without dry season - Warm summer","Finland","Europe","Continental"
"l_767",767,50.863186,4.723872,52,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_768",768,60.273783,27.21875,,"Cold - Without dry season - Warm summer","Finland","Europe","Continental"
"l_769",769,50.839489,4.655044,43,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_770",770,66.451887,33.799009,0,"Cold - Without dry season - Warm summer","Russia","Europe","Continental"
"l_771",771,55.675447,13.545069,25,"Temperate - Without dry season - Warm summer","Sweden","Europe","Temperate"
"l_772",772,51.02402,4.484039,7,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_773",773,60.34705,27.478483,,"Cold - Without dry season - Warm summer","Finland","Europe","Continental"
"l_774",774,60.43215,18.522367,,"Cold - Without dry season - Warm summer","Sweden","Europe","Continental"
"l_775",775,51.315,108.4105,882,"Cold - Dry winter - Warm summer","Russia","Asia","Continental"
"l_776",776,54.485833,90.1565,447,"Cold - Without dry season - Warm summer","Russia","Asia","Continental"
"l_777",777,50.496425,47.205936,68,"Arid Steppe - Cold","Russia","Europe","Arid"
"l_778",778,50.509786,46.519028,26,"Arid Steppe - Cold","Russia","Europe","Arid"
"l_779",779,43.48012,4.647302,-1,"Temperate - Dry summer - Hot summer","France","Europe","Temperate"
"l_780",780,48.444874,-68.584664,41,"Cold - Without dry season - Warm summer","Canada","North America","Continental"
"l_781",781,52.322722,20.730514,86,"Cold - Without dry season - Warm summer","Poland","Europe","Continental"
"l_782",782,52.21092,20.99654,112,"Cold - Without dry season - Warm summer","Poland","Europe","Continental"
"l_783",783,45.147122,29.678165,0,"Arid Desert - Cold","Romania","Europe","Arid"
"l_784",784,60.421733,18.51015,,"Cold - Without dry season - Warm summer","Sweden","Europe","Continental"
"l_785",785,50.7842,3.915978,39,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_786",786,46.302519,48.013563,-23,"Arid Desert - Cold","Russia","Europe","Arid"
"l_787",787,51.17808,4.161051,10,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_788",788,66.449692,33.856688,0,"Cold - Without dry season - Warm summer","Russia","Europe","Continental"
"l_789",789,58.770982,-93.850837,5,"Cold - Dry summer - Cold summer","Canada","North America","Continental"
"l_790",790,50.155519,43.3894,87,"Arid Steppe - Cold","Russia","Europe","Arid"
"l_791",791,60.497133,18.43156,6,"Cold - Without dry season - Warm summer","Sweden","Europe","Continental"
"l_792",792,46.998611,-2.239444,1,"Temperate - Without dry season - Warm summer","France","Europe","Temperate"
"l_793",793,52.457335,-105.048796,539,"Cold - Without dry season - Warm summer","Canada","North America","Continental"
"l_794",794,60.02161224,19.90250643,,"Cold - Without dry season - Warm summer","Sweden","Europe","Continental"
"l_795",795,36.96,10.223556,-1,"Temperate - Dry summer - Hot summer","Tunisia","Africa","Temperate"
"l_796",796,39.823611,32.830556,1027,"Arid Steppe - Cold","Turkey","Asia","Arid"
"l_797",797,49.967833,88.692,1752,"Arid Steppe - Cold","Russia","Asia","Arid"
"l_798",798,61.937458,129.638192,95,"Cold - Without dry season - Cold summer","Russia","Asia","Continental"
"l_799",799,51.15623,4.159557,24,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_800",800,49.986425,46.693011,27,"Arid Steppe - Cold","Russia","Europe","Arid"
"l_801",801,53.017778,106.885833,476,"Arid Steppe - Cold","Russia","Asia","Arid"
"l_802",802,51.28253,3.355467,0,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_803",803,50.81624,3.271563,25,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_804",804,52.408558,-105.005806,542,"Cold - Without dry season - Warm summer","Canada","North America","Continental"
"l_805",805,51.04251,3.731611,8,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_806",806,51.0389,3.723744,9,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_807",807,43.738306,3.863302,89,"Temperate - Dry summer - Hot summer","France","Europe","Temperate"
"l_808",808,56.425003,37.602672,139,"Cold - Without dry season - Warm summer","Russia","Europe","Continental"
"l_809",809,50.318167,115.305167,661,"Cold - Dry winter - Warm summer","Russia","Asia","Continental"
"l_810",810,50.82274,4.653691,45,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_811",811,50.98233,5.317858,35,"Temperate - Without dry season - Warm summer","Belgium","Europe","Temperate"
"l_812",812,55.683317,39.882461,117,"Cold - Without dry season - Warm summer","Russia","Europe","Continental"
"l_813",813,55.964167,9.596389,111,"Temperate - Without dry season - Warm summer","Denmark","Europe","Temperate"
"l_814",814,60.423167,18.557233,,"Cold - Without dry season - Warm summer","Sweden","Europe","Continental"
"l_815",815,60.4152,18.56895,,"Cold - Without dry season - Warm summer","Sweden","Europe","Continental"
