"tax_id","ott_id","domain","kingdom","phylum","class","order","family","genus","species","subspecies","taxon_name","AphiaID_accepted","freshwater","brackish","marine","tax_level"
"tax_912",957577,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Alburnus","Alburnus alburnus",,"alburnus alburnus",154285,"TRUE","TRUE",,"species"
"tax_889",631550,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Alburnus","Alburnus chalcoides",,"alburnus chalcoides",307757,"TRUE","TRUE",,"species"
"tax_894",691811,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Sciaenidae","Aplodinotus","Aplodinotus grunniens",,"aplodinotus grunniens",590490,"TRUE",,,"species"
"tax_933",3625441,"Eukaryota","Metazoa","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","Astyanax asuncionensis",,"astyanax asuncionensis",1524427,"TRUE",,,"species"
"tax_859",251608,"Eukaryota","Metazoa","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","Astyanax eigenmanniorum",,"astyanax eigenmanniorum",1526193,"TRUE",,,"species"
"tax_934",3625442,"Eukaryota","Metazoa","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","Astyanax lineatus",,"astyanax lineatus",1467742,"TRUE",,,"species"
"tax_911",915716,"Eukaryota","Metazoa","Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Atalophlebia","Atalophlebia sp.",,"atalophlebia sp.",,"TRUE",,,"species"
"tax_908",904117,"Eukaryota","Metazoa","Chordata","Actinopteri","Semionotiformes","Lepisosteidae","Atractosteus","Atractosteus spatula",,"atractosteus spatula",279822,"TRUE","TRUE",,"species"
"tax_930",3624242,"Eukaryota","Metazoa","Chordata","Actinopteri","Siluriformes","Austroglanididae","Austroglanis","Austroglanis gilli",,"austroglanis gilli",1014634,"TRUE",,,"species"
"tax_893",671913,"Eukaryota","Metazoa","Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Baetis harrisoni",,"baetis harrisoni",593160,"TRUE",,,"species"
"tax_920",1026749,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Barbonymus","Barbonymus gonionotus",,"barbonymus gonionotus",1026316,"TRUE",,,"species"
"tax_875",497025,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Barbus","Barbus calidus",,"barbus calidus",1525267,"TRUE",,,"species"
"tax_909",904279,"Eukaryota","Metazoa","Arthropoda","Malacostraca","Decapoda","Gecarcinucidae","Barytelphusa","Barytelphusa cunicularis",,"barytelphusa cunicularis",440532,"TRUE",,,"species"
"tax_910",913297,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Poeciliidae","Belonesox","Belonesox belizanus",,"belonesox belizanus",279891,"TRUE","TRUE",,"species"
"tax_903",822002,"Eukaryota","Metazoa","Chordata","Actinopteri","Characiformes","Bryconidae","Brycon","Brycon amazonicus",,"brycon amazonicus",1015965,"TRUE",,,"species"
"tax_876",498815,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Cichlidae","Bujurquina","Bujurquina vittata",,"bujurquina vittata",1018728,"TRUE",,,"species"
"tax_919",1010092,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Carassius","Carassius carassius",,"carassius carassius",154297,"TRUE","TRUE",,"species"
"tax_834",14765,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Carassius","Carassius gibelio",,"carassius gibelio",234033,"TRUE","TRUE","TRUE","species"
"tax_870",421700,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Catostomidae","Carpiodes","Carpiodes carpio",,"carpiodes carpio",890545,"TRUE",,,"species"
"tax_853",210293,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Catostomidae","Catostomus","Catostomus platyrhynchus",,"catostomus platyrhynchus",592848,"TRUE",,,"species"
"tax_882",575844,"Eukaryota","Metazoa","Chordata","Actinopteri","Gonorynchiformes","Chanidae","Chanos","Chanos chanos",,"chanos chanos",217625,"TRUE","TRUE","TRUE","species"
"tax_840",101277,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Catostomidae","Chasmistes","Chasmistes brevirostris",,"chasmistes brevirostris",1020061,"TRUE",,,"species"
"tax_856",234616,"Eukaryota","Metazoa","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche",,,"cheumatopsyche sp",593193,"TRUE",,,"genus"
"tax_936",4469120,"Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Chironomus","Chironomus crassicaudatus",,"chironomus crassicaudatus",146802,"TRUE","TRUE","TRUE","species"
"tax_914",969102,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Cichlidae","Cichlasoma","Cichlasoma urophthalmum",,"cichlasoma urophthalmum",1253896,"TRUE","TRUE",,"species"
"tax_926",2901700,"Eukaryota","Metazoa","Mollusca","Gastropoda","Neogastropoda","Nassariidae","Clea","Clea nigricans",,"clea nigricans",490903,"TRUE",,,"species"
"tax_884",583945,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Couesius","Couesius plumbeus",,"couesius plumbeus",567529,"TRUE",,,"species"
"tax_937",7493056,"Eukaryota","Metazoa","Mollusca","Bivalvia","Unionida","Unionidae","Cyclonaias","Cyclonaias necki",,"cyclonaias necki",,"TRUE",,,"species"
"tax_874",493927,"Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Cyprinion","Cyprinion macrostomum",,"cyprinion macrostomum",1022142,"TRUE",,,"species"
"tax_846",147482,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Cyprinodontidae","Cyprinodon","Cyprinodon bovinus",,"cyprinodon bovinus",1021646,"TRUE",,,"species"
"tax_845",147479,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Cyprinodontidae","Cyprinodon","Cyprinodon dearborni",,"cyprinodon dearborni",1015000,"TRUE",,,"species"
"tax_836",33248,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Cyprinodontidae","Cyprinodon","Cyprinodon diabolis",,"cyprinodon diabolis",1015867,"TRUE",,,"species"
"tax_886",617460,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Cyprinodontidae","Cyprinodon","Cyprinodon nevadensis",,"cyprinodon nevadensis",1019442,"TRUE",,,"species"
"tax_888",619266,"Eukaryota","Metazoa","Chordata","Actinopteri","Acanthomorphata","Cyprinodontidae","Cyprinodon","Cyprinodon nevadensis","Cyprinodon nevadensis mionectes","cyprinodon nevadensis mionectes",1019442,"TRUE",,,"subspecies"
