"ref_code","ref_source","ref_language","pub_year","ref_info","ref_info_orig","ref_doi","ref_journal_orig","study_id"
"Pintanel_et_al_2021","GS","english",2021,"Pintanel, P., Tejedo, M., Salinas‐Ivanenko, S., Jervis, P. and Merino‐Viteri, A., 2021. Predators like it hot: Thermal mismatch in a predator–prey system across an elevational tropical gradient. Journal of Animal Ecology, 90(8), pp.1985-1995.",,"10.1111/1365-2656.13516","Journal of Animal Ecology","s_301"
"Shah_et_al_2017","GS","english",2017,"Shah, A.A., Gill, B.A., Encalada, A.C., Flecker, A.S., Funk, W.C., Guayasamin, J.M., Kondratieff, B.C., Poff, N.L., Thomas, S.A., Zamudio, K.R. and Ghalambor, C.K., 2017. Climate variability predicts thermal limits of aquatic insects across elevation and latitude. Functional Ecology, 31(11), pp.2118-2127.",,"10.1111/1365-2435.12906","Functional Ecology","s_339"
"Kochhann_et_al_2021","GS","english",2021,"Kochhann, D., Sarmento, C.G., de Oliveira, J.C., Queiroz, H.L., Val, A.L. and Chapman, L.J., 2021. Take time to look at the fish: Behavioral response to acute thermal challenge in two Amazonian cichlids. Journal of Experimental Zoology Part A: Ecological and Integrative Physiology, 335(9-10), pp.735-744.",,"10.1002/joz.2541","Journal of Experimental Zoology","s_199"
"Dallas_&_Rivers_Moore_2012","Cereja_2020","english",2012,"Dallas, H.F. and Rivers-Moore, N.A., 2012. Critical thermal maxima of aquatic macroinvertebrates: towards identifying bioindicators of thermal alteration. Hydrobiologia, 679, pp.61-76.",,"10.1007/s10750-011-0856-4","Hydrobiologia","s_91"
"Dallas_&_Ketley_2011","Cereja_2020","english",2011,"Dallas, H.F. and Ketley, Z.A., 2011. Upper thermal limits of aquatic macroinvertebrates: comparing critical thermal maxima with 96-LT50 values. Journal of Thermal Biology, 36(6), pp.322-327.",,"10.1016/j.jtherbio.2011.06.001","Journal of Thermal Biology","s_90"
"Rivers_Moore_et_al_2015","GS","english",2015,"Rivers-Moore, N.A., Dallas, H., Barendse, J. and de Moor, F., 2015. Towards assessing impacts of alien plant infestations on river systems in the Southern Cape using cost-benefit analyses. Water Research Commission, Pretoria. WRC Report, (2264/1), p.15.",,,,"s_318"
"Van_der_Walt_2019","GS","english",2019,"Van der Walt, K.A., 2019. Thermal tolerance and the potential effects of climate change on coastal intertidal and estuarine organisms in the Kariega Estuary and adjacent intertitdal coastline. Eastern Cape, South Africa (Doctoral thesis).",,,,"s_379"
"van_der_Walt_et_al_2021","GS","english",2021,"Van der Walt, K.A., Porri, F., Potts, W.M., Duncan, M.I. and James, N.C., 2021. Thermal tolerance, safety margins and vulnerability of coastal species: Projected impact of climate change induced cold water variability in a temperate African region. Marine Environmental Research, 169, p.105346.",,"10.1016/j.marenvres.2021.105346","Marine Environmental Research","s_435"
"Olsen_et_al_2021","GS","english",2021,"Olsen, T., Shelton, J.M. and Dallas, H.F., 2021. Does thermal history influence thermal tolerance of the freshwater fish Galaxias zebratus in a global biodiversity hotspot?. Journal of Thermal Biology, 97, p.102890.","Olsen, T., Shelton, J.M. and Dallas, H.F., 2021. Does thermal history influence thermal tolerance of the freshwater fish Galaxias zebratus in a global biodiversity hotspot?. Journal of Thermal Biology, 97, p.102890.","10.1016/j.jtherbio.2021.102890","Journal of Thermal Biology","s_275"
"Gaufin_&_Hern_1971","GS","english",1971,"Gaufin, A.R. and Hern, S., 1971. Laboratory studies on tolerance of aquatic insects to heated waters. Journal of the Kansas Entomological Society, pp.240-245.",,,"Journal of the Kansas Entomological Society","s_142"
"Sandoval_Castillo_et_al_2020","GS","english",2020,"Sandoval-Castillo, J., Gates, K., Brauer, C.J., Smith, S., Bernatchez, L. and Beheregaray, L.B., 2020. Adaptation of plasticity to projected maximum temperatures and across climatically defined bioregions. Proceedings of the National Academy of Sciences, 117(29), pp.17112-17121.",,"10.1073/pnas.1921124117","Proceedings of the National Academy of Sciences","s_332"
"Adams_et_al_2022","GS","english",2022,"Adams, O.A., Zhang, Y., Gilbert, M.H., Lawrence, C.S., Snow, M. and Farrell, A.P., 2022. An unusually high upper thermal acclimation potential for rainbow trout. Conservation Physiology, 10(1), p.coab101.",,"10.1093/conphys/coab101","Conservation Physiology","s_3"
"Patra_et_al_2007","Cereja_2020","english",2007,"Patra, R.W., Chapman, J.C., Lim, R.P. and Gehrke, P.C., 2007. The effects of three organic chemicals on the upper thermal tolerances of four freshwater fishes. Environmental Toxicology and Chemistry, 26(7), pp.1454-1459.",,"10.1897/06-156R1.1","Environmental Toxicology and Chemistry","s_291"
"Lee_&_Rinne_1980","GlobTherm_2018","english",1980,"Lee, R.M. and Rinne, J.N., 1980. Critical thermal maxima of five trout species in the southwestern United States. Transactions of the American Fisheries Society, 109(6), pp.632-635.",,"10.1577/1548-8659(1980)109<632:CTMOFT>2.0.CO;2","Transactions of the American Fisheries Society","s_215"
"Jiang_et_al_2019","CNKI","chinese",2019,"Jiang X., Dong S., Liu C., Zhou Y., 2019. Temperature tolerance of juvenile rainbow trout and steelhead trout (oncorhynchus mykiss). Periodical of Ocean University of China, 49(3):57-62","姜旭阳, 董双林, 刘骋跃, 周演根. 2019. 虹鳟和硬头鳟幼鱼对温度的耐受性. 中国海洋大学学报(自然科学版), 49(3):57-62","10.16441/j.cnki.hdxb.20180347","中国海洋大学学报(自然科学版)","s_185"
"Myrick_&_Cech_Jr_2000","Cereja_2020","english",2000,"Myrick, C.A. and Cech Jr, J.J., 2000. Growth and thermal biology of Feather River steelhead under constant and cyclical temperatures. Davis, California: Department of Wildlife, Fish, and Conservation Biology, University of California, Davis.",,,,"s_261"
"Bard_et_al_2021","GS","english",2021,"Bard, B., Dodge, A., Joyce, W., Lawrence, M., Cooke, S.J. and Gilmour, K.M., 2021. Elevated cortisol lowers thermal tolerance but results in limited cardiac remodelling in rainbow trout (Oncorhynchus mykiss) experiencing chronic social stress. Journal of Experimental Biology, 224(13), p.jeb238683.",,"10.1242/jeb.238683","Journal of Experimental Biology","s_23"
"Adams_ 2020","GS","english",2020,"Adams, O., 2020. Thermal acclimation potential of australian rainbow trout, Oncorhynchus mykiss (Doctoral dissertation, University of British Columbia).",,"10.14288/1.0389956",,"s_2"
"Strowbridge_et_al_2021","GS","english",2021,"Strowbridge, N., Northrup, S.L., Earhart, M.L., Blanchard, T.S. and Schulte, P.M., 2021. Acute measures of upper thermal and hypoxia tolerance are not reliable predictors of mortality following environmental challenges in rainbow trout (Oncorhynchus mykiss). Conservation Physiology, 9(1), p.coab095.",,"10.1093/conphys/coab095","Conservation Physiology","s_358"
"Blair_and_Glover_2019","GS","english",2019,"Blair, S.D. and Glover, C.N., 2019. Acute exposure of larval rainbow trout (Oncorhynchus mykiss) to elevated temperature limits hsp70b expression and influences future thermotolerance. Hydrobiologia, 836, pp.155-167.","Blair, S.D. and Glover, C.N., 2019. Acute exposure of larval rainbow trout (Oncorhynchus mykiss) to elevated temperature limits hsp70b expression and influences future thermotolerance. Hydrobiologia, 836, pp.155-167.","10.1007/s10750-019-3948-1","Hydrobiologia","s_41"
"McArley_et_al_2022","GS","english",2022,"McArley, T.J., Morgenroth, D., Zena, L.A., Ekström, A.T. and Sandblom, E., 2022. Prevalence and mechanisms of environmental hyperoxia-induced thermal tolerance in fishes. Proceedings of the Royal Society B, 289(1981), p.20220840.","McArley, T.J., Morgenroth, D., Zena, L.A., Ekström, A.T. and Sandblom, E., 2022. Prevalence and mechanisms of environmental hyperoxia-induced thermal tolerance in fishes. Proceedings of the Royal Society B, 289(1981), p.20220840.","10.1098/rspb.2022.0840","Proceedings of the Royal Society B","s_244"
"Jones_et_al_2021","GS","english",2021,"Jones, K.K., Humphreys, W.F., Saccò, M., Bertozzi, T., Austin, A.D. and Cooper, S.J., 2021. The critical thermal maximum of diving beetles (Coleoptera: Dytiscidae): a comparison of subterranean and surface-dwelling species. Current Research in Insect Science, 1, p.100019.","Jones, K.K., Humphreys, W.F., Saccò, M., Bertozzi, T., Austin, A.D. and Cooper, S.J., 2021. The critical thermal maximum of diving beetles (Coleoptera: Dytiscidae): a comparison of subterranean and surface-dwelling species. Current Research in Insect Science, 1, p.100019.","10.1016/j.cris.2021.100019","Current Research in Insect Science 1","s_188"
"Stewart_et_al_2013","GS","english",2013,"Stewart, B.A., Close, P.G., Cook, P.A. and Davies, P.M., 2013. Upper thermal tolerances of key taxonomic groups of stream invertebrates. Hydrobiologia, 718, pp.131-140.",,"10.1007/s10750-013-1611-9","Hydrobiologia","s_354"
"Gómez_2014","GS","spanish",2014,,"Gómez, S.E., 2014. Máximo térmico crítico en peces argentinos de agua dulce, Sudamérica. Revista del Museo Argentino de Ciencias Naturales, 16(2), pp.123-127.",,"Revista del Museo Argentino de Ciencias Naturales","s_154"
"Baduy_et_al_2016","Cereja_2020","english",2016,"Baduy, F., Soares, J., Silva, M., Canário, A.V.M., Saraiva, J.L. and Guerreiro, P.M., 2016. Critical thermal maximum and minimum in Australoheros facetus, a neo-tropical invader in the Iberian peninsula. FishMed, 12, pp.1-3.",,"10.29094/FiSHMED.2016.012","Fishes in Mediterranean Environments","s_19"
"Yanar_et_al_2019","GS","english",2019,"Yanar, M., Erdoğan, E. and Kumlu, M., 2019. Thermal tolerance of thirteen popular ornamental fish species. Aquaculture, 501, pp.382-386.","Yanar, M., Erdoğan, E. and Kumlu, M., 2019. Thermal tolerance of thirteen popular ornamental fish species. Aquaculture, 501, pp.382-386.","10.1016/j.aquaculture.2018.11.041","Aquaculture","s_414"
"Buxton_2021","GS","english",2021,"Buxton, M., 2021. The bio-ecology of key mosquito vector species in Botswana: implications for shifting environments (Doctoral dissertation, Botswana International University of Science & Technology (Botswana)).",,,,"s_52"
"Richardson_et_al_1994","GlobTherm_2018","english",1994,"Richardson, J., Boubée, J.A. and West, D.W., 1994. Thermal tolerance and preference of some native New Zealand freshwater fish. New Zealand journal of marine and freshwater research, 28(4), pp.399-407.",,"10.1080/00288330.1994.9516630","New Zealand journal of marine and freshwater research","s_316"
"Simons_1984","Leiva_et_al_2019","english",1984,"Simons M. 1984 Species Specific Responses of Freshwater Organisms to Elevated Water Temperatures. Waikato Valley Authority.",,,,"s_343"
"Lattuca_et_al_2018","Leiva_et_al_2019","english",2018," Lattuca ME, Boy CC, Vanella FA, Barrantes ME, Fernández DA. 2018 Thermal responses of three native fishes from estuarine areas of the Beagle Channel, and their implications for climate change. Hydrobiologia 808, 235–249. (",,,"Hydrobiologia","s_212"
"Quinn_et_al_1994","GlobTherm_2018","english",1994,"Quinn, J.M., Steele, G.L., Hickey, C.W. and Vickers, M.L., 1994. Upper thermal tolerances of twelve New Zealand stream invertebrate species. New Zealand journal of marine and freshwater research, 28(4), pp.391-397.",,"10.1080/00288330.1994.9516629","New Zealand journal of marine and freshwater research","s_307"
"Zhou_et_al_2021","GS","english",2021,"Zhou, L., Ouyang, X., Zhao, Y., Gomes-Silva, G., Segura-Muñoz, S.I., Jourdan, J., Riesch, R. and Plath, M., 2022. Invasive fish retain plasticity of naturally selected, but diverge in sexually selected traits. Science of The Total Environment, 811, p.152386.",,"10.1016/j.scitotenv.2021.152386","Science of the Total Environment","s_428"
"González_Naya_et_al_2005","GS","spanish",2005,,"González Naya, M.J., Gómez, S.E. and Ramírez, L., 2005. Notas experimentales sobre Gambusia cf. affinis (Osteichthyes: Poeciliidae) en Argentina. Biología Acuática, (22), pp.157-162.",,"Biología Acuática","s_150"
"Carveth_et_al_2006","Cereja_2020","english",2006,"Carveth, C.J., Widmer, A.M. and Bonar, S.A., 2006. Comparison of upper thermal tolerances of native and nonnative fish species in Arizona. Transactions of the American Fisheries Society, 135(6), pp.1433-1440.",,"10.1577/T05-025.1","Transactions of the American Fisheries Society","s_59"
"Otto_1973","Cereja_2020","english",1973,"Otto, R.G., 1973. Temperature tolerance of the mosquitofish, Gambmia affinis (Baird and Girard). Journal of fish biology, 5(5), pp.575-585.",,"10.1111/j.1095-8649.1973.tb04490.x","Journal of fish biology","s_280"
"Lutterschmidt_&_Hutchison_1997","Cereja_2020","english",1997,"Lutterschmidt, W.I. and Hutchison, V.H., 1997. The critical thermal maximum: data to support the onset of spasms as the definitive end point. Canadian Journal of Zoology, 75(10), pp.1553-1560.",,"10.1139/z97-782","Canadian Journal of Zoology","s_225"
"Koopman_et_al_2016","GS","english",2016,"Koopman, K.R., Collas, F.P., van der Velde, G. and Verberk, W.C., 2016. Oxygen can limit heat tolerance in freshwater gastropods: differences between gill and lung breathers. Hydrobiologia, 763, pp.301-312.",,"10.1007/s10750-015-2386-y","Hydrobiologia","s_202"
"Bates_et_al_2013","GlobTherm_2018","english",2013,"Bates, A.E., McKelvie, C.M., Sorte, C.J., Morley, S.A., Jones, N.A., Mondon, J.A., Bird, T.J. and Quinn, G., 2013. Geographical range, heat tolerance and invasion success in aquatic species. Proceedings of the Royal Society B: Biological Sciences, 280(1772), p.20131958.",,"10.1098/rspb.2013.1958","Proceedings of the Royal Society B: Biological Sciences","s_28"
"Rodgers_&_Gomez_Isaza_2022","GS","english",2022,"Rodgers, E.M. and Isaza, D.F.G., 2022. Stress history affects heat tolerance in an aquatic ectotherm (Chinook salmon, Oncorhynchus tshawytscha). Journal of Thermal Biology, 106, p.103252.","Rodgers, E.M. and Isaza, D.F.G., 2022. Stress history affects heat tolerance in an aquatic ectotherm (Chinook salmon, Oncorhynchus tshawytscha). Journal of Thermal Biology, 106, p.103252.","10.1016/j.jtherbio.2022.103252","Journal of Thermal Biology","s_319"
"Isaza_&_ Rodgers_2022","GS","english",2022,"Isaza, D.F.G. and Rodgers, E.M., 2022. Exercise training does not affect heat tolerance in Chinook salmon (Oncorhynchus tshawytscha). Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 270, p.111229.",,"10.1016/j.cbpa.2022.111229","Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology","s_181"
"Zillig_et_al_2022","GS","english",2022,"Zillig, K.W., Lusardi, R.A., Cocherell, D.E. and Fangue, N.A., 2022. Interpopulation variation in thermal physiology among seasonal runs of Chinook salmon. Canadian Journal of Fisheries and Aquatic Sciences, 80(1), pp.1-13.",,"10.1139/cjfas-2022-0133","Canadian Journal of Fisheries and Aquatic Sciences","s_433"
"Del_Rio_et_al_2019","GS","english",2019,"Del Rio, A.M., Davis, B.E., Fangue, N.A. and Todgham, A.E., 2019. Combined effects of warming and hypoxia on early life stage Chinook salmon physiology and development. Conservation physiology, 7(1), p.coy078.",,"10.1093/conphys/coy078.","Conservation Physiology","s_103"
"Zillig_2022","GS","english",2022,"Zillig, K.W., 2022. Variation in Thermal Physiology Among Chinook Salmon Populations. University of California, Davis.",,,,"s_432"
"Brett_1952","GlobTherm_2018","english",1952,"Brett, J.R., 1952. Temperature tolerance in young Pacific salmon, genus Oncorhynchus. Journal of the Fisheries Board of Canada, 9(6), pp.265-323.",,"10.1139/f52-016","Journal of the Fisheries Board of Canada","s_46"
"Hooper_2008","Leiva_et_al_2019","english",2008," Hooper JK. 2008 The effect of temperature change on the New Zealand marine fish, Notolabrus celidotus. Master Thesis, University of Canterbury, New Zeland.",,,"Master thesis","s_175"
"Dabruzzi_et_al_2019","GS","english",2019,"Dabruzzi, T.F., Fangue, N.A., Kadir, N.N. and Bennett, W.A., 2019. Thermal niche adaptations of common mudskipper (Periophthalmus kalolo) and barred mudskipper (Periophthalmus argentilineatus) in air and water. Journal of thermal biology, 81, pp.170-177.","Dabruzzi, T.F., Fangue, N.A., Kadir, N.N. and Bennett, W.A., 2019. Thermal niche adaptations of common mudskipper (Periophthalmus kalolo) and barred mudskipper (Periophthalmus argentilineatus) in air and water. Journal of thermal biology, 81, pp.170-177.","10.1016/j.jtherbio.2019.02.023","Journal of Thermal Biology","s_87"
