"Search string for taxonomic name search: ""taxonomic name"" AND ""thermal tolerance"" OR ""heat tolerance"" OR ""ctmax"" OR ""incipient lethal temperature"" OR ""critical thermal maximum"" OR ""thermal limit""",,
,,
taxonomic names,,
order,family,genus
Bivalvia,Aphelocheiridae,Agabus
Coleoptera,Asellidae,Agrypnia
Crustacea,Astacidae,Alboglossiphonia
Decapoda,Athericidae,Amphinemura
Diptera,Baetidae,Amphipoda
Ephemeroptera,Beraeidae,Anabolia
Gastropoda,Bithyniidae,Ancylus
Heteroptera,Brachycentridae,Anisus
Hirudinea,Caenidae,Anodonta
Hydrachnidia,Calopterygidae,Anomalopterygella
Lepidoptera,Cambaridae,Antocha
Megaloptera,Ceratopogonidae,Aphelocheirus
Neuroptera,Chaoboridae,Asellus
Odonata,Chironomidae,Atherix
Oligochaeta,Chloroperlidae,Athripsodes
Planipennia,Coenagrionidae,Atrichopogon
Plecoptera,Corbiculidae,Atrichops
Seriata,Cordulegastridae,Baetis
Trichoptera,Corixidae,Bathyomphalus
Turbellaria,Corophiidae,Beraea
,Culicidae,Beraeodes
,Dendrocoelidae,Beris
,Dixidae,Bithynia
,Dolichopodidae,Brachycentrus
,Dryopidae,Brachyptera
,Dugesiidae,Brychius
,Dytiscidae,Caenis
,Elmidae,Calopteryx
,Empididae,Centroptilum
,Enchytraeidae,Ceraclea
,Ephemerellidae,Ceratopogoninae
,Ephemeridae,Chaetopterygini
,Ephydridae,Chaetopteryx
,Erpobdellidae,Chaoborus
,Gammaridae,Chelifera
,Gerridae,Cheumatopsyche
,Glossiphoniidae,Chironomini
,Glossosomatidae,Chironomus
,Goeridae,Chrysopilus
,Gomphidae,Chrysops
,Gyrinidae,Clinocerinae
,Haemopidae,Cloeon
,Haliplidae,Coenagrion
,Haplotaxidae,Corbicula
,Helophoridae,Cordulegaster
,Heptageniidae,Corixinae
,Hydraenidae,Corophium
,Hydrobiidae,Crunoecia
,Hydrometridae,Cymatia
,Hydrophilidae,Cyphon
,Hydropsychidae,Cyrnus
,Hydroptilidae,Dasyhelea
,Janiridae,Dendrocoelum
,Lepidostomatidae,Deronectes
,Leptoceridae,Dicranota
,Leptophlebiidae,Dikerogammarus
,Leuctridae,Dina
,Libellulidae,Dinocras
,Limnephilidae,Dixa
,Limoniidae,Dixella
,Lumbricidae,Dolichopeza
,Lumbriculidae,Drusus
,Lymnaeidae,Dryops
,Micronectinae,Dugesia
,Muscidae,Ecclisopteryx
,Nemouridae,Ecdyonurus
,Nepidae,Eiseniella
,Notonectidae,Electrogena
,Odontoceridae,Elmis
,Oligoneuriidae,Elodes
,Pediciidae,Eloeophila
,Perlidae,Epeorus
,Perlodidae,Ephemera
,Philopotamidae,Ephemerella
,Phryganeidae,Eristalini
,Physidae,Erpobdella
,Piscicolinae,Esolus
,Planariidae,Galba
,Planorbidae,Gammarus
,Platycnemididae,Gerris
,Polycentropodidae,Glossiphonia
,Potamanthidae,Glossosoma
,Psychodidae,Glyphotaelius
,Psychomyiidae,Goera
,Ptychopteridae,Gomphus
,Rhagionidae,Gyraulus
,Rhyacophilidae,Gyrinus
,Sciomyzidae,Habroleptoides
,Scirtidae,Habrophlebia
,Sericostomatidae,Haemopis
,Sialidae,Halesus
,Simuliidae,Haliplus
,Sisyridae,Haplotaxis
,Sphaeriidae,Helius
,Stratiomyiidae,Helobdella
,Syrphidae,Helochares
,Tabanidae,Helophorus
,Taeniopterygidae,Hemerodromia
,Tipulidae,Hemiclepsis
,Unionidae,Heptagenia
,Veliidae,Hesperocorixa
,Viviparidae,Heteroptera
,,Hippeutis
,,Hydatophylax
,,Hydrachnidia
,,Hydraena
,,Hydrellia
,,Hydrocyphon
,,Hydrometra
,,Hydroporinae
,,Hydroporus
,,Hydropsyche
,,Hydroptila
,,Hygrotus
,,Ibisia
,,Idioptera
,,Ilybius
,,Ironoquia
,,Ischnura
,,Isoperla
,,Jaera
,,Laccobius
,,Laccophilus
,,Lepidostoma
,,Leptocerus
,,Leptophlebia
,,Leuctra
,,Libellula
,,Limnebius
,,Limnephilini
,,Limnephilus
,,Limnius
,,Limnophora
,,Lispe
,,Lithax
,,Lumbriculus
,,Lymnaea
,,Lype
,,Micrasema
,,Micronectinae
,,Micropterna
,,Molophilus
,,Musculium
,,Mysidacea
,,Mystacides
,,Nebrioporus
,,Nemoura
,,Nemurella
,,Nepa
,,Nephrotoma
,,Odontocerum
,,Oecetis
,,Oecismus
,,Oligoneuriella
,,Ophiogomphus
,,Orconectes
,,Orectochilus
,,Oreodytes
,,Orthetrum
,,Oulimnius
,,Paraleptophlebia
,,Pedicia
,,Pericoma
,,Perlodes
,,Philopotamus
,,Phylidorea
,,Physella
,,Pilaria
,,Piscicola
,,Pisidium
,,Planorbis
,,Platambus
,,Platycnemis
,,Plectrocnemia
,,Polycelis
,,Polycentropus
,,Pomatinus
,,Potamanthus
,,Potamophylax
,,Potamopyrgus
,,Proasellus
,,Procloeon
,,Prodiamesa
,,Prosimulium
,,Protonemura
,,Pseudolimnophila
,,Psychomyia
,,Ptychoptera
,,Pyrrhosoma
,,Radix
,,Rhantus
,,Rhithrogena
,,Rhyacophila
,,Rhypholophus
,,Riolus
,,Sericostoma
,,Serratella
,,Sialis
,,Silo
,,Simulium
,,Siphonoperla
,,Sisyra
,,Sphaerium
,,Stagnicola
,,Stenophylax
,,Stylodrilus
,,Tanytarsini
,,Tetanocera
,,Theromyzon
,,Tinodes
,,Tipula
,,Torleya
,,Trocheta
,,Turbellaria
,,Unio
,,Velia
,,Viviparus
,,Wormaldia
